Provinsi,Tahun,Rata-Rata
Kepulauan Bangka Belitung,2000,N/A
Kepulauan Bangka Belitung,2001,28.38
Kepulauan Bangka Belitung,2002,28.13
Kepulauan Bangka Belitung,2003,29.37
Kepulauan Bangka Belitung,2004,27.94
Kepulauan Bangka Belitung,2005,27.3
Kepulauan Bangka Belitung,2006,27.28
Kepulauan Bangka Belitung,2007,26.7
Kepulauan Bangka Belitung,2008,26.4
Kepulauan Bangka Belitung,2009,27.3
Kepulauan Bangka Belitung,2010,27
Kepulauan Bangka Belitung,2011,27.4
Kepulauan Bangka Belitung,2012,27
Kepulauan Bangka Belitung,2013,27
Kepulauan Bangka Belitung,2014,27.2
Kepulauan Bangka Belitung,2015,27.3
Kepulauan Bangka Belitung,2016,N/A
Kepulauan Bangka Belitung,2017,N/A
Kepulauan Bangka Belitung,2018,N/A
Kepulauan Bangka Belitung,2019,27.81
Kepulauan Bangka Belitung,2020,27.92
Kepulauan Bangka Belitung,2021,27.86
Kepulauan Bangka Belitung,2022,27.77
Kepulauan Bangka Belitung,2023,27.5
