Provinsi,Tahun,Rata-Rata
Bengkulu,2000,24.23
Bengkulu,2001,26.8
Bengkulu,2002,28.51
Bengkulu,2003,29.51
Bengkulu,2004,29.71
Bengkulu,2005,25.7
Bengkulu,2006,26.1
Bengkulu,2007,26.4
Bengkulu,2008,26.3
Bengkulu,2009,26.5
Bengkulu,2010,26.8
Bengkulu,2011,N/A
Bengkulu,2012,26.9
Bengkulu,2013,26.74
Bengkulu,2014,26.9
Bengkulu,2015,27
Bengkulu,2016,N/A
Bengkulu,2017,N/A
Bengkulu,2018,28.8
Bengkulu,2019,27.35
Bengkulu,2020,28.45
Bengkulu,2021,27.5
Bengkulu,2022,26.7
Bengkulu,2023,27.2
