Provinsi,Tahun,Rata-Rata
Gorontalo,2000,N/A
Gorontalo,2001,28.02
Gorontalo,2002,28.05
Gorontalo,2003,29.09
Gorontalo,2004,29.29
Gorontalo,2005,27
Gorontalo,2006,26.9
Gorontalo,2007,28.6
Gorontalo,2008,26.5
Gorontalo,2009,27.3
Gorontalo,2010,N/A
Gorontalo,2011,27
Gorontalo,2012,27
Gorontalo,2013,27
Gorontalo,2014,26.7
Gorontalo,2015,27.3
Gorontalo,2016,28.64
Gorontalo,2017,28.27
Gorontalo,2018,27.88
Gorontalo,2019,27.98
Gorontalo,2020,28.06
Gorontalo,2021,28.33
Gorontalo,2022,27.1
Gorontalo,2023,27.7
