Provinsi,Tahun,Rata-Rata
Jawa Barat,2000,N/A
Jawa Barat,2001,N/A
Jawa Barat,2002,N/A
Jawa Barat,2003,N/A
Jawa Barat,2004,N/A
Jawa Barat,2005,23.40
Jawa Barat,2006,23.45
Jawa Barat,2007,23.50
Jawa Barat,2008,23.20
Jawa Barat,2009,23.40
Jawa Barat,2010,N/A
Jawa Barat,2011,23.4
Jawa Barat,2012,23.4
Jawa Barat,2013,23.5
Jawa Barat,2014,23.4
Jawa Barat,2015,23.5
Jawa Barat,2016,N/A
Jawa Barat,2017,25.19
Jawa Barat,2018,24.93
Jawa Barat,2019,25.18
Jawa Barat,2020,N/A
Jawa Barat,2021,23.5
Jawa Barat,2022,23.38
Jawa Barat,2023,24.25
