Provinsi,Tahun,Rata-Rata
DKI Jakarta,2000,23.94
DKI Jakarta,2001,29.16
DKI Jakarta,2002,29
DKI Jakarta,2003,30.92
DKI Jakarta,2004,30.34
DKI Jakarta,2005,28.8
DKI Jakarta,2006,28.47
DKI Jakarta,2007,28.3
DKI Jakarta,2008,27.9
DKI Jakarta,2009,28.3
DKI Jakarta,2010,28
DKI Jakarta,2011,N/A
DKI Jakarta,2012,N/A
DKI Jakarta,2013,28.96
DKI Jakarta,2014,29.44
DKI Jakarta,2015,29.27
DKI Jakarta,2016,29.05
DKI Jakarta,2017,29.23
DKI Jakarta,2018,29.28
DKI Jakarta,2019,29.37
DKI Jakarta,2020,29.74
DKI Jakarta,2021,29.15
DKI Jakarta,2022,N/A
DKI Jakarta,2023,N/A
