Provinsi,Tahun,Rata-Rata
Jawa Timur,2000,27.06
Jawa Timur,2001,28.75
Jawa Timur,2002,29.06
Jawa Timur,2003,30.46
Jawa Timur,2004,30.28
Jawa Timur,2005,29.20
Jawa Timur,2006,28.68
Jawa Timur,2007,29.1
Jawa Timur,2008,28
Jawa Timur,2009,28.2
Jawa Timur,2010,27.94
Jawa Timur,2011,27.80
Jawa Timur,2012,28
Jawa Timur,2013,27.9
Jawa Timur,2014,28
Jawa Timur,2015,28
Jawa Timur,2016,28.80
Jawa Timur,2017,28.08
Jawa Timur,2018,28.12
Jawa Timur,2019,28.04
Jawa Timur,2020,N/A
Jawa Timur,2021,28.8
Jawa Timur,2022,28.1
Jawa Timur,2023,N/A
