Provinsi,Tahun,Rata-Rata
Jawa Tengah,2000,28.14
Jawa Tengah,2001,29.04
Jawa Tengah,2002,28.99
Jawa Tengah,2003,30.22
Jawa Tengah,2004,29.24
Jawa Tengah,2005,27.9
Jawa Tengah,2006,27.2
Jawa Tengah,2007,27.9
Jawa Tengah,2008,27.4
Jawa Tengah,2009,27.9
Jawa Tengah,2010,27.9
Jawa Tengah,2011,27.7
Jawa Tengah,2012,28
Jawa Tengah,2013,28.02
Jawa Tengah,2014,28.02
Jawa Tengah,2015,28.5
Jawa Tengah,2016,N/A
Jawa Tengah,2017,30.23
Jawa Tengah,2018,28.57
Jawa Tengah,2019,29.17
Jawa Tengah,2020,28.35
Jawa Tengah,2021,28.5
Jawa Tengah,2022,27.9
Jawa Tengah,2023,28.5
