Provinsi,Tahun,Rata-Rata
Kalimantan Barat,2000,28.69
Kalimantan Barat,2001,27.95
Kalimantan Barat,2002,28.03
Kalimantan Barat,2003,28.56
Kalimantan Barat,2004,28.4
Kalimantan Barat,2005,26.5
Kalimantan Barat,2006,26.9
Kalimantan Barat,2007,26.7
Kalimantan Barat,2008,26.4
Kalimantan Barat,2009,27.1
Kalimantan Barat,2010,27.1
Kalimantan Barat,2011,26.6
Kalimantan Barat,2012,27.1
Kalimantan Barat,2013,26.9
Kalimantan Barat,2014,26.8
Kalimantan Barat,2015,26.9
Kalimantan Barat,2016,29
Kalimantan Barat,2017,29.3
Kalimantan Barat,2018,28.75
Kalimantan Barat,2019,29.2
Kalimantan Barat,2020,29.1
Kalimantan Barat,2021,27.6
Kalimantan Barat,2022,26.7
Kalimantan Barat,2023,27.4
