Provinsi,Tahun,Rata-Rata
Kalimantan Selatan,2000,26.85
Kalimantan Selatan,2001,26.23
Kalimantan Selatan,2002,28.35
Kalimantan Selatan,2003,29.02
Kalimantan Selatan,2004,27.95
Kalimantan Selatan,2005,N/A
Kalimantan Selatan,2006,27.28
Kalimantan Selatan,2007,26.7
Kalimantan Selatan,2008,26.4
Kalimantan Selatan,2009,26.7
Kalimantan Selatan,2010,N/A
Kalimantan Selatan,2011,27.1
Kalimantan Selatan,2012,26.6
Kalimantan Selatan,2013,26.7
Kalimantan Selatan,2014,26.8
Kalimantan Selatan,2015,27
Kalimantan Selatan,2016,N/A
Kalimantan Selatan,2017,26.63
Kalimantan Selatan,2018,26.75
Kalimantan Selatan,2019,27.25
Kalimantan Selatan,2020,28.64
Kalimantan Selatan,2021,N/A
Kalimantan Selatan,2022,N/A
Kalimantan Selatan,2023,N/A
