Provinsi,Tahun,Rata-Rata
Kalimantan Tengah,2000,N/A
Kalimantan Tengah,2001,28.77
Kalimantan Tengah,2002,28.57
Kalimantan Tengah,2003,29
Kalimantan Tengah,2004,27.87
Kalimantan Tengah,2005,27
Kalimantan Tengah,2006,27.17
Kalimantan Tengah,2007,27.4
Kalimantan Tengah,2008,27.2
Kalimantan Tengah,2009,26.9
Kalimantan Tengah,2010,23.7
Kalimantan Tengah,2011,N/A
Kalimantan Tengah,2012,27.3
Kalimantan Tengah,2013,27.4
Kalimantan Tengah,2014,27.4
Kalimantan Tengah,2015,27.7
Kalimantan Tengah,2016,N/A
Kalimantan Tengah,2017,N/A
Kalimantan Tengah,2018,N/A
Kalimantan Tengah,2019,N/A
Kalimantan Tengah,2020,N/A
Kalimantan Tengah,2021,27.6
Kalimantan Tengah,2022,27.2
Kalimantan Tengah,2023,27.6
