Provinsi,Tahun,Rata-Rata
Kepulauan Riau,2000,N/A
Kepulauan Riau,2001,N/A
Kepulauan Riau,2002,N/A
Kepulauan Riau,2003,28.88
Kepulauan Riau,2004,28.88
Kepulauan Riau,2005,N/A
Kepulauan Riau,2006,N/A
Kepulauan Riau,2007,N/A
Kepulauan Riau,2008,N/A
Kepulauan Riau,2009,N/A
Kepulauan Riau,2010,N/A
Kepulauan Riau,2011,N/A
Kepulauan Riau,2012,N/A
Kepulauan Riau,2013,N/A
Kepulauan Riau,2014,N/A
Kepulauan Riau,2015,N/A
Kepulauan Riau,2016,27.4
Kepulauan Riau,2017,27.95
Kepulauan Riau,2018,30.46
Kepulauan Riau,2019,28.12
Kepulauan Riau,2020,28.27
Kepulauan Riau,2021,28.07
Kepulauan Riau,2022,27.81
Kepulauan Riau,2023,27.75
