Provinsi,Tahun,Rata-Rata
Maluku Utara,2000,N/A
Maluku Utara,2001,28.09
Maluku Utara,2002,28.61
Maluku Utara,2003,28.7
Maluku Utara,2004,28.05
Maluku Utara,2005,26.9
Maluku Utara,2006,26.79
Maluku Utara,2007,26.7
Maluku Utara,2008,26.6
Maluku Utara,2009,27.4
Maluku Utara,2010,27.1
Maluku Utara,2011,26.9
Maluku Utara,2012,N/A
Maluku Utara,2013,27
Maluku Utara,2014,27
Maluku Utara,2015,27.3
Maluku Utara,2016,N/A
Maluku Utara,2017,N/A
Maluku Utara,2018,N/A
Maluku Utara,2019,N/A
Maluku Utara,2020,N/A
Maluku Utara,2021,28.4
Maluku Utara,2022,28
Maluku Utara,2023,28.3
