Provinsi,Tahun,Rata-Rata
Nusa Tenggara Barat,2000,26.81
Nusa Tenggara Barat,2001,28.73
Nusa Tenggara Barat,2002,29.02
Nusa Tenggara Barat,2003,29.66
Nusa Tenggara Barat,2004,30.09
Nusa Tenggara Barat,2005,27.8
Nusa Tenggara Barat,2006,26.75
Nusa Tenggara Barat,2007,26.6
Nusa Tenggara Barat,2008,27.3
Nusa Tenggara Barat,2009,27.4
Nusa Tenggara Barat,2010,27.9
Nusa Tenggara Barat,2011,26.6
Nusa Tenggara Barat,2012,25.8
Nusa Tenggara Barat,2013,28.25
Nusa Tenggara Barat,2014,26.9
Nusa Tenggara Barat,2015,26.1
Nusa Tenggara Barat,2016,27.2
Nusa Tenggara Barat,2017,26.35
Nusa Tenggara Barat,2018,27
Nusa Tenggara Barat,2019,27.55
Nusa Tenggara Barat,2020,N/A
Nusa Tenggara Barat,2021,27.4
Nusa Tenggara Barat,2022,27.4
Nusa Tenggara Barat,2023,27.4
