Provinsi,Tahun,Rata-Rata
Nusa Tenggara Timur,2000,27.56
Nusa Tenggara Timur,2001,27.37
Nusa Tenggara Timur,2002,28.28
Nusa Tenggara Timur,2003,29.13
Nusa Tenggara Timur,2004,28.93
Nusa Tenggara Timur,2005,27.2
Nusa Tenggara Timur,2006,N/A
Nusa Tenggara Timur,2007,27.3
Nusa Tenggara Timur,2008,27.2
Nusa Tenggara Timur,2009,27.3
Nusa Tenggara Timur,2010,N/A
Nusa Tenggara Timur,2011,27
Nusa Tenggara Timur,2012,27.2
Nusa Tenggara Timur,2013,27.5
Nusa Tenggara Timur,2014,27.4
Nusa Tenggara Timur,2015,27.5
Nusa Tenggara Timur,2016,N/A
Nusa Tenggara Timur,2017,N/A
Nusa Tenggara Timur,2018,27.2
Nusa Tenggara Timur,2019,27.35
Nusa Tenggara Timur,2020,27.95
Nusa Tenggara Timur,2021,28.3
Nusa Tenggara Timur,2022,28
Nusa Tenggara Timur,2023,28
