Provinsi,Tahun,Rata-Rata
Papua Barat,2000,N/A
Papua Barat,2001,N/A
Papua Barat,2002,N/A
Papua Barat,2003,28.25
Papua Barat,2004,28.1
Papua Barat,2005,27.9
Papua Barat,2006,27.5
Papua Barat,2007,27.4
Papua Barat,2008,27.3
Papua Barat,2009,27.1
Papua Barat,2010,27.3
Papua Barat,2011,27.1
Papua Barat,2012,27.2
Papua Barat,2013,27.3
Papua Barat,2014,27.5
Papua Barat,2015,27.4
Papua Barat,2016,27.89
Papua Barat,2017,27.98
Papua Barat,2018,N/A
Papua Barat,2019,N/A
Papua Barat,2020,N/A
Papua Barat,2021,26.1
Papua Barat,2022,25.9
Papua Barat,2023,26.1
