Provinsi,Tahun,Rata-Rata
Sulawesi Barat,2000,N/A
Sulawesi Barat,2001,N/A
Sulawesi Barat,2002,N/A
Sulawesi Barat,2003,29.37
Sulawesi Barat,2004,29.46
Sulawesi Barat,2005,N/A
Sulawesi Barat,2006,N/A
Sulawesi Barat,2007,27.2
Sulawesi Barat,2008,27.1
Sulawesi Barat,2009,27.5
Sulawesi Barat,2010,27.6
Sulawesi Barat,2011,27.7
Sulawesi Barat,2012,27.6
Sulawesi Barat,2013,27.58
Sulawesi Barat,2014,27.9
Sulawesi Barat,2015,27.9
Sulawesi Barat,2016,27.9
Sulawesi Barat,2017,27.8
Sulawesi Barat,2018,27.6
Sulawesi Barat,2019,27.6
Sulawesi Barat,2020,27.55
Sulawesi Barat,2021,27.7
Sulawesi Barat,2022,27.4
Sulawesi Barat,2023,28
