Provinsi,Tahun,Rata-Rata
Sulawesi Tengah,2000,28.8
Sulawesi Tengah,2001,28.85
Sulawesi Tengah,2002,29.6
Sulawesi Tengah,2003,29.62
Sulawesi Tengah,2004,28.49
Sulawesi Tengah,2005,N/A
Sulawesi Tengah,2006,26.58
Sulawesi Tengah,2007,25.2
Sulawesi Tengah,2008,26.6
Sulawesi Tengah,2009,27.6
Sulawesi Tengah,2010,27.7
Sulawesi Tengah,2011,27.6
Sulawesi Tengah,2012,27.7
Sulawesi Tengah,2013,26.7
Sulawesi Tengah,2014,26.7
Sulawesi Tengah,2015,28.4
Sulawesi Tengah,2016,28.23
Sulawesi Tengah,2017,27.5
Sulawesi Tengah,2018,27.98
Sulawesi Tengah,2019,28.2
Sulawesi Tengah,2020,27.66
Sulawesi Tengah,2021,28
Sulawesi Tengah,2022,27
Sulawesi Tengah,2023,28
