Provinsi,Tahun,Rata-Rata
Sulawesi Tenggara,2000,N/A
Sulawesi Tenggara,2001,27.21
Sulawesi Tenggara,2002,26.43
Sulawesi Tenggara,2003,28.39
Sulawesi Tenggara,2004,28.36
Sulawesi Tenggara,2005,N/A
Sulawesi Tenggara,2006,25.7
Sulawesi Tenggara,2007,26.7
Sulawesi Tenggara,2008,26.5
Sulawesi Tenggara,2009,27.7
Sulawesi Tenggara,2010,28
Sulawesi Tenggara,2011,27.5
Sulawesi Tenggara,2012,27.3
Sulawesi Tenggara,2013,27
Sulawesi Tenggara,2014,26.8
Sulawesi Tenggara,2015,26.9
Sulawesi Tenggara,2016,26.9
Sulawesi Tenggara,2017,26.9
Sulawesi Tenggara,2018,26.9
Sulawesi Tenggara,2019,26.9
Sulawesi Tenggara,2020,27
Sulawesi Tenggara,2021,27
Sulawesi Tenggara,2022,27
Sulawesi Tenggara,2023,27.55
