Provinsi,Tahun,Rata-Rata
Sulawesi Utara,2000,26.97
Sulawesi Utara,2001,28.8
Sulawesi Utara,2002,28.76
Sulawesi Utara,2003,28.67
Sulawesi Utara,2004,26.9
Sulawesi Utara,2005,26.7
Sulawesi Utara,2006,26.24
Sulawesi Utara,2007,26.3
Sulawesi Utara,2008,26
Sulawesi Utara,2009,26.6
Sulawesi Utara,2010,26.3
Sulawesi Utara,2011,26.1
Sulawesi Utara,2012,26.1
Sulawesi Utara,2013,26.37
Sulawesi Utara,2014,26.6
Sulawesi Utara,2015,27
Sulawesi Utara,2016,26.66
Sulawesi Utara,2017,N/A
Sulawesi Utara,2018,N/A
Sulawesi Utara,2019,N/A
Sulawesi Utara,2020,N/A
Sulawesi Utara,2021,28.8
Sulawesi Utara,2022,27.9
Sulawesi Utara,2023,28.3
