Provinsi,Tahun,Rata-Rata
Sumatera Barat,2000,25.87
Sumatera Barat,2001,28.18
Sumatera Barat,2002,28.2
Sumatera Barat,2003,29.17
Sumatera Barat,2004,29.02
Sumatera Barat,2005,25.9
Sumatera Barat,2006,26.05
Sumatera Barat,2007,25.7
Sumatera Barat,2008,25.4
Sumatera Barat,2009,25.5
Sumatera Barat,2010,25.8
Sumatera Barat,2011,27
Sumatera Barat,2012,25.2
Sumatera Barat,2013,25.13
Sumatera Barat,2014,25.67
Sumatera Barat,2015,26.5
Sumatera Barat,2016,N/A
Sumatera Barat,2017,N/A
Sumatera Barat,2018,27
Sumatera Barat,2019,27
Sumatera Barat,2020,27
Sumatera Barat,2021,26.9
Sumatera Barat,2022,26.5
Sumatera Barat,2023,26.7
