Provinsi,Tahun,Rata-Rata
Sumatera Selatan,2000,N/A
Sumatera Selatan,2001,28.83
Sumatera Selatan,2002,28.24
Sumatera Selatan,2003,29.64
Sumatera Selatan,2004,28.73
Sumatera Selatan,2005,27.1
Sumatera Selatan,2006,27.1
Sumatera Selatan,2007,27
Sumatera Selatan,2008,26.9
Sumatera Selatan,2009,27.4
Sumatera Selatan,2010,N/A
Sumatera Selatan,2011,27.3
Sumatera Selatan,2012,27.4
Sumatera Selatan,2013,27.3
Sumatera Selatan,2014,24.2
Sumatera Selatan,2015,27.7
Sumatera Selatan,2016,27
Sumatera Selatan,2017,27
Sumatera Selatan,2018,27
Sumatera Selatan,2019,27
Sumatera Selatan,2020,27
Sumatera Selatan,2021,27
Sumatera Selatan,2022,27
Sumatera Selatan,2023,27
