Provinsi,Tahun,Rata-Rata
Sumatera Utara,2000,27.7
Sumatera Utara,2001,28.04
Sumatera Utara,2002,28.45
Sumatera Utara,2003,29.59
Sumatera Utara,2004,29.27
Sumatera Utara,2005,27
Sumatera Utara,2006,27.8
Sumatera Utara,2007,27
Sumatera Utara,2008,26.9
Sumatera Utara,2009,27.1
Sumatera Utara,2010,27.3
Sumatera Utara,2011,27.2
Sumatera Utara,2012,27.3
Sumatera Utara,2013,28.77
Sumatera Utara,2014,27.9
Sumatera Utara,2015,27.4
Sumatera Utara,2016,28.94
Sumatera Utara,2017,28
Sumatera Utara,2018,28.10
Sumatera Utara,2019,28.25
Sumatera Utara,2020,28.47
Sumatera Utara,2021,28.4
Sumatera Utara,2022,27.9
Sumatera Utara,2023,28.2
