Provinsi,Tahun,Rata-Rata
DI  Yogyakarta,2000,28.2
DI  Yogyakarta,2001,29
DI  Yogyakarta,2002,28.48
DI  Yogyakarta,2003,29.87
DI  Yogyakarta,2004,29.42
DI  Yogyakarta,2005,N/A
DI  Yogyakarta,2006,N/A
DI  Yogyakarta,2007,25.8
DI  Yogyakarta,2008,26.1
DI  Yogyakarta,2009,26.1
DI  Yogyakarta,2010,N/A
DI  Yogyakarta,2011,26
DI  Yogyakarta,2012,26.6
DI  Yogyakarta,2013,26.2
DI  Yogyakarta,2014,26.3
DI  Yogyakarta,2015,26.1
DI  Yogyakarta,2016,27.68
DI  Yogyakarta,2017,N/A
DI  Yogyakarta,2018,N/A
DI  Yogyakarta,2019,N/A
DI  Yogyakarta,2020,N/A
DI  Yogyakarta,2021,27.2
DI  Yogyakarta,2022,27.5
DI  Yogyakarta,2023,27.3
